facility_id,facility_name,legacy_system_id,property_type,service_type,lease_start_date,lease_end_date,vendor_id,manager_name,unit_count,is_active,external_ref_id,notes,occupancy_status,created_date,internal_row_id,data_source_system
facility_id_10,facility_name_10,legacy_system_id_10,property_type_10,service_type_10,lease_start_date_10,lease_end_date_10,vendor_id_10,manager_name_10,unit_count_10,is_active_10,external_ref_id_10,notes_10,occupancy_status_10,created_date_10,internal_row_id_10,data_source_system_10
facility_id_11,facility_name_11,legacy_system_id_11,property_type_11,service_type_11,lease_start_date_11,lease_end_date_11,vendor_id_11,manager_name_11,unit_count_11,is_active_11,external_ref_id_11,notes_11,occupancy_status_11,created_date_11,internal_row_id_11,data_source_system_11
facility_id_12,facility_name_12,legacy_system_id_12,property_type_12,service_type_12,lease_start_date_12,lease_end_date_12,vendor_id_12,manager_name_12,unit_count_12,is_active_12,external_ref_id_12,notes_12,occupancy_status_12,created_date_12,internal_row_id_12,data_source_system_12
facility_id_13,facility_name_13,legacy_system_id_13,property_type_13,service_type_13,lease_start_date_13,lease_end_date_13,vendor_id_13,manager_name_13,unit_count_13,is_active_13,external_ref_id_13,notes_13,occupancy_status_13,created_date_13,internal_row_id_13,data_source_system_13
facility_id_14,facility_name_14,legacy_system_id_14,property_type_14,service_type_14,lease_start_date_14,lease_end_date_14,vendor_id_14,manager_name_14,unit_count_14,is_active_14,external_ref_id_14,notes_14,occupancy_status_14,created_date_14,internal_row_id_14,data_source_system_14
facility_id_15,facility_name_15,legacy_system_id_15,property_type_15,service_type_15,lease_start_date_15,lease_end_date_15,vendor_id_15,manager_name_15,unit_count_15,is_active_15,external_ref_id_15,notes_15,occupancy_status_15,created_date_15,internal_row_id_15,data_source_system_15
facility_id_16,facility_name_16,legacy_system_id_16,property_type_16,service_type_16,lease_start_date_16,lease_end_date_16,vendor_id_16,manager_name_16,unit_count_16,is_active_16,external_ref_id_16,notes_16,occupancy_status_16,created_date_16,internal_row_id_16,data_source_system_16
facility_id_17,facility_name_17,legacy_system_id_17,property_type_17,service_type_17,lease_start_date_17,lease_end_date_17,vendor_id_17,manager_name_17,unit_count_17,is_active_17,external_ref_id_17,notes_17,occupancy_status_17,created_date_17,internal_row_id_17,data_source_system_17
facility_id_18,facility_name_18,legacy_system_id_18,property_type_18,service_type_18,lease_start_date_18,lease_end_date_18,vendor_id_18,manager_name_18,unit_count_18,is_active_18,external_ref_id_18,notes_18,occupancy_status_18,created_date_18,internal_row_id_18,data_source_system_18
facility_id_19,facility_name_19,legacy_system_id_19,property_type_19,service_type_19,lease_start_date_19,lease_end_date_19,vendor_id_19,manager_name_19,unit_count_19,is_active_19,external_ref_id_19,notes_19,occupancy_status_19,created_date_19,internal_row_id_19,data_source_system_19
facility_id_20,facility_name_20,legacy_system_id_20,property_type_20,service_type_20,lease_start_date_20,lease_end_date_20,vendor_id_20,manager_name_20,unit_count_20,is_active_20,external_ref_id_20,notes_20,occupancy_status_20,created_date_20,internal_row_id_20,data_source_system_20
facility_id_21,facility_name_21,legacy_system_id_21,property_type_21,service_type_21,lease_start_date_21,lease_end_date_21,vendor_id_21,manager_name_21,unit_count_21,is_active_21,external_ref_id_21,notes_21,occupancy_status_21,created_date_21,internal_row_id_21,data_source_system_21
facility_id_22,facility_name_22,legacy_system_id_22,property_type_22,service_type_22,lease_start_date_22,lease_end_date_22,vendor_id_22,manager_name_22,unit_count_22,is_active_22,external_ref_id_22,notes_22,occupancy_status_22,created_date_22,internal_row_id_22,data_source_system_22
facility_id_23,facility_name_23,legacy_system_id_23,property_type_23,service_type_23,lease_start_date_23,lease_end_date_23,vendor_id_23,manager_name_23,unit_count_23,is_active_23,external_ref_id_23,notes_23,occupancy_status_23,created_date_23,internal_row_id_23,data_source_system_23
facility_id_24,facility_name_24,legacy_system_id_24,property_type_24,service_type_24,lease_start_date_24,lease_end_date_24,vendor_id_24,manager_name_24,unit_count_24,is_active_24,external_ref_id_24,notes_24,occupancy_status_24,created_date_24,internal_row_id_24,data_source_system_24
facility_id_25,facility_name_25,legacy_system_id_25,property_type_25,service_type_25,lease_start_date_25,lease_end_date_25,vendor_id_25,manager_name_25,unit_count_25,is_active_25,external_ref_id_25,notes_25,occupancy_status_25,created_date_25,internal_row_id_25,data_source_system_25
facility_id_26,facility_name_26,legacy_system_id_26,property_type_26,service_type_26,lease_start_date_26,lease_end_date_26,vendor_id_26,manager_name_26,unit_count_26,is_active_26,external_ref_id_26,notes_26,occupancy_status_26,created_date_26,internal_row_id_26,data_source_system_26
facility_id_27,facility_name_27,legacy_system_id_27,property_type_27,service_type_27,lease_start_date_27,lease_end_date_27,vendor_id_27,manager_name_27,unit_count_27,is_active_27,external_ref_id_27,notes_27,occupancy_status_27,created_date_27,internal_row_id_27,data_source_system_27
facility_id_28,facility_name_28,legacy_system_id_28,property_type_28,service_type_28,lease_start_date_28,lease_end_date_28,vendor_id_28,manager_name_28,unit_count_28,is_active_28,external_ref_id_28,notes_28,occupancy_status_28,created_date_28,internal_row_id_28,data_source_system_28
facility_id_29,facility_name_29,legacy_system_id_29,property_type_29,service_type_29,lease_start_date_29,lease_end_date_29,vendor_id_29,manager_name_29,unit_count_29,is_active_29,external_ref_id_29,notes_29,occupancy_status_29,created_date_29,internal_row_id_29,data_source_system_29
facility_id_30,facility_name_30,legacy_system_id_30,property_type_30,service_type_30,lease_start_date_30,lease_end_date_30,vendor_id_30,manager_name_30,unit_count_30,is_active_30,external_ref_id_30,notes_30,occupancy_status_30,created_date_30,internal_row_id_30,data_source_system_30
facility_id_31,facility_name_31,legacy_system_id_31,property_type_31,service_type_31,lease_start_date_31,lease_end_date_31,vendor_id_31,manager_name_31,unit_count_31,is_active_31,external_ref_id_31,notes_31,occupancy_status_31,created_date_31,internal_row_id_31,data_source_system_31
facility_id_32,facility_name_32,legacy_system_id_32,property_type_32,service_type_32,lease_start_date_32,lease_end_date_32,vendor_id_32,manager_name_32,unit_count_32,is_active_32,external_ref_id_32,notes_32,occupancy_status_32,created_date_32,internal_row_id_32,data_source_system_32
facility_id_33,facility_name_33,legacy_system_id_33,property_type_33,service_type_33,lease_start_date_33,lease_end_date_33,vendor_id_33,manager_name_33,unit_count_33,is_active_33,external_ref_id_33,notes_33,occupancy_status_33,created_date_33,internal_row_id_33,data_source_system_33
facility_id_34,facility_name_34,legacy_system_id_34,property_type_34,service_type_34,lease_start_date_34,lease_end_date_34,vendor_id_34,manager_name_34,unit_count_34,is_active_34,external_ref_id_34,notes_34,occupancy_status_34,created_date_34,internal_row_id_34,data_source_system_34
facility_id_35,facility_name_35,legacy_system_id_35,property_type_35,service_type_35,lease_start_date_35,lease_end_date_35,vendor_id_35,manager_name_35,unit_count_35,is_active_35,external_ref_id_35,notes_35,occupancy_status_35,created_date_35,internal_row_id_35,data_source_system_35
facility_id_36,facility_name_36,legacy_system_id_36,property_type_36,service_type_36,lease_start_date_36,lease_end_date_36,vendor_id_36,manager_name_36,unit_count_36,is_active_36,external_ref_id_36,notes_36,occupancy_status_36,created_date_36,internal_row_id_36,data_source_system_36
facility_id_37,facility_name_37,legacy_system_id_37,property_type_37,service_type_37,lease_start_date_37,lease_end_date_37,vendor_id_37,manager_name_37,unit_count_37,is_active_37,external_ref_id_37,notes_37,occupancy_status_37,created_date_37,internal_row_id_37,data_source_system_37
facility_id_38,facility_name_38,legacy_system_id_38,property_type_38,service_type_38,lease_start_date_38,lease_end_date_38,vendor_id_38,manager_name_38,unit_count_38,is_active_38,external_ref_id_38,notes_38,occupancy_status_38,created_date_38,internal_row_id_38,data_source_system_38
facility_id_39,facility_name_39,legacy_system_id_39,property_type_39,service_type_39,lease_start_date_39,lease_end_date_39,vendor_id_39,manager_name_39,unit_count_39,is_active_39,external_ref_id_39,notes_39,occupancy_status_39,created_date_39,internal_row_id_39,data_source_system_39
facility_id_40,facility_name_40,legacy_system_id_40,property_type_40,service_type_40,lease_start_date_40,lease_end_date_40,vendor_id_40,manager_name_40,unit_count_40,is_active_40,external_ref_id_40,notes_40,occupancy_status_40,created_date_40,internal_row_id_40,data_source_system_40
facility_id_41,facility_name_41,legacy_system_id_41,property_type_41,service_type_41,lease_start_date_41,lease_end_date_41,vendor_id_41,manager_name_41,unit_count_41,is_active_41,external_ref_id_41,notes_41,occupancy_status_41,created_date_41,internal_row_id_41,data_source_system_41
facility_id_42,facility_name_42,legacy_system_id_42,property_type_42,service_type_42,lease_start_date_42,lease_end_date_42,vendor_id_42,manager_name_42,unit_count_42,is_active_42,external_ref_id_42,notes_42,occupancy_status_42,created_date_42,internal_row_id_42,data_source_system_42
facility_id_43,facility_name_43,legacy_system_id_43,property_type_43,service_type_43,lease_start_date_43,lease_end_date_43,vendor_id_43,manager_name_43,unit_count_43,is_active_43,external_ref_id_43,notes_43,occupancy_status_43,created_date_43,internal_row_id_43,data_source_system_43
facility_id_44,facility_name_44,legacy_system_id_44,property_type_44,service_type_44,lease_start_date_44,lease_end_date_44,vendor_id_44,manager_name_44,unit_count_44,is_active_44,external_ref_id_44,notes_44,occupancy_status_44,created_date_44,internal_row_id_44,data_source_system_44
facility_id_45,facility_name_45,legacy_system_id_45,property_type_45,service_type_45,lease_start_date_45,lease_end_date_45,vendor_id_45,manager_name_45,unit_count_45,is_active_45,external_ref_id_45,notes_45,occupancy_status_45,created_date_45,internal_row_id_45,data_source_system_45
facility_id_46,facility_name_46,legacy_system_id_46,property_type_46,service_type_46,lease_start_date_46,lease_end_date_46,vendor_id_46,manager_name_46,unit_count_46,is_active_46,external_ref_id_46,notes_46,occupancy_status_46,created_date_46,internal_row_id_46,data_source_system_46
facility_id_47,facility_name_47,legacy_system_id_47,property_type_47,service_type_47,lease_start_date_47,lease_end_date_47,vendor_id_47,manager_name_47,unit_count_47,is_active_47,external_ref_id_47,notes_47,occupancy_status_47,created_date_47,internal_row_id_47,data_source_system_47
facility_id_48,facility_name_48,legacy_system_id_48,property_type_48,service_type_48,lease_start_date_48,lease_end_date_48,vendor_id_48,manager_name_48,unit_count_48,is_active_48,external_ref_id_48,notes_48,occupancy_status_48,created_date_48,internal_row_id_48,data_source_system_48
facility_id_49,facility_name_49,legacy_system_id_49,property_type_49,service_type_49,lease_start_date_49,lease_end_date_49,vendor_id_49,manager_name_49,unit_count_49,is_active_49,external_ref_id_49,notes_49,occupancy_status_49,created_date_49,internal_row_id_49,data_source_system_49
facility_id_50,facility_name_50,legacy_system_id_50,property_type_50,service_type_50,lease_start_date_50,lease_end_date_50,vendor_id_50,manager_name_50,unit_count_50,is_active_50,external_ref_id_50,notes_50,occupancy_status_50,created_date_50,internal_row_id_50,data_source_system_50
facility_id_51,facility_name_51,legacy_system_id_51,property_type_51,service_type_51,lease_start_date_51,lease_end_date_51,vendor_id_51,manager_name_51,unit_count_51,is_active_51,external_ref_id_51,notes_51,occupancy_status_51,created_date_51,internal_row_id_51,data_source_system_51
facility_id_52,facility_name_52,legacy_system_id_52,property_type_52,service_type_52,lease_start_date_52,lease_end_date_52,vendor_id_52,manager_name_52,unit_count_52,is_active_52,external_ref_id_52,notes_52,occupancy_status_52,created_date_52,internal_row_id_52,data_source_system_52
facility_id_53,facility_name_53,legacy_system_id_53,property_type_53,service_type_53,lease_start_date_53,lease_end_date_53,vendor_id_53,manager_name_53,unit_count_53,is_active_53,external_ref_id_53,notes_53,occupancy_status_53,created_date_53,internal_row_id_53,data_source_system_53
facility_id_54,facility_name_54,legacy_system_id_54,property_type_54,service_type_54,lease_start_date_54,lease_end_date_54,vendor_id_54,manager_name_54,unit_count_54,is_active_54,external_ref_id_54,notes_54,occupancy_status_54,created_date_54,internal_row_id_54,data_source_system_54
facility_id_55,facility_name_55,legacy_system_id_55,property_type_55,service_type_55,lease_start_date_55,lease_end_date_55,vendor_id_55,manager_name_55,unit_count_55,is_active_55,external_ref_id_55,notes_55,occupancy_status_55,created_date_55,internal_row_id_55,data_source_system_55
facility_id_56,facility_name_56,legacy_system_id_56,property_type_56,service_type_56,lease_start_date_56,lease_end_date_56,vendor_id_56,manager_name_56,unit_count_56,is_active_56,external_ref_id_56,notes_56,occupancy_status_56,created_date_56,internal_row_id_56,data_source_system_56
facility_id_57,facility_name_57,legacy_system_id_57,property_type_57,service_type_57,lease_start_date_57,lease_end_date_57,vendor_id_57,manager_name_57,unit_count_57,is_active_57,external_ref_id_57,notes_57,occupancy_status_57,created_date_57,internal_row_id_57,data_source_system_57
facility_id_58,facility_name_58,legacy_system_id_58,property_type_58,service_type_58,lease_start_date_58,lease_end_date_58,vendor_id_58,manager_name_58,unit_count_58,is_active_58,external_ref_id_58,notes_58,occupancy_status_58,created_date_58,internal_row_id_58,data_source_system_58
facility_id_59,facility_name_59,legacy_system_id_59,property_type_59,service_type_59,lease_start_date_59,lease_end_date_59,vendor_id_59,manager_name_59,unit_count_59,is_active_59,external_ref_id_59,notes_59,occupancy_status_59,created_date_59,internal_row_id_59,data_source_system_59
facility_id_60,facility_name_60,legacy_system_id_60,property_type_60,service_type_60,lease_start_date_60,lease_end_date_60,vendor_id_60,manager_name_60,unit_count_60,is_active_60,external_ref_id_60,notes_60,occupancy_status_60,created_date_60,internal_row_id_60,data_source_system_60
facility_id_61,facility_name_61,legacy_system_id_61,property_type_61,service_type_61,lease_start_date_61,lease_end_date_61,vendor_id_61,manager_name_61,unit_count_61,is_active_61,external_ref_id_61,notes_61,occupancy_status_61,created_date_61,internal_row_id_61,data_source_system_61
facility_id_62,facility_name_62,legacy_system_id_62,property_type_62,service_type_62,lease_start_date_62,lease_end_date_62,vendor_id_62,manager_name_62,unit_count_62,is_active_62,external_ref_id_62,notes_62,occupancy_status_62,created_date_62,internal_row_id_62,data_source_system_62
facility_id_63,facility_name_63,legacy_system_id_63,property_type_63,service_type_63,lease_start_date_63,lease_end_date_63,vendor_id_63,manager_name_63,unit_count_63,is_active_63,external_ref_id_63,notes_63,occupancy_status_63,created_date_63,internal_row_id_63,data_source_system_63
facility_id_64,facility_name_64,legacy_system_id_64,property_type_64,service_type_64,lease_start_date_64,lease_end_date_64,vendor_id_64,manager_name_64,unit_count_64,is_active_64,external_ref_id_64,notes_64,occupancy_status_64,created_date_64,internal_row_id_64,data_source_system_64
facility_id_65,facility_name_65,legacy_system_id_65,property_type_65,service_type_65,lease_start_date_65,lease_end_date_65,vendor_id_65,manager_name_65,unit_count_65,is_active_65,external_ref_id_65,notes_65,occupancy_status_65,created_date_65,internal_row_id_65,data_source_system_65
facility_id_66,facility_name_66,legacy_system_id_66,property_type_66,service_type_66,lease_start_date_66,lease_end_date_66,vendor_id_66,manager_name_66,unit_count_66,is_active_66,external_ref_id_66,notes_66,occupancy_status_66,created_date_66,internal_row_id_66,data_source_system_66
facility_id_67,facility_name_67,legacy_system_id_67,property_type_67,service_type_67,lease_start_date_67,lease_end_date_67,vendor_id_67,manager_name_67,unit_count_67,is_active_67,external_ref_id_67,notes_67,occupancy_status_67,created_date_67,internal_row_id_67,data_source_system_67
facility_id_68,facility_name_68,legacy_system_id_68,property_type_68,service_type_68,lease_start_date_68,lease_end_date_68,vendor_id_68,manager_name_68,unit_count_68,is_active_68,external_ref_id_68,notes_68,occupancy_status_68,created_date_68,internal_row_id_68,data_source_system_68
facility_id_69,facility_name_69,legacy_system_id_69,property_type_69,service_type_69,lease_start_date_69,lease_end_date_69,vendor_id_69,manager_name_69,unit_count_69,is_active_69,external_ref_id_69,notes_69,occupancy_status_69,created_date_69,internal_row_id_69,data_source_system_69
facility_id_70,facility_name_70,legacy_system_id_70,property_type_70,service_type_70,lease_start_date_70,lease_end_date_70,vendor_id_70,manager_name_70,unit_count_70,is_active_70,external_ref_id_70,notes_70,occupancy_status_70,created_date_70,internal_row_id_70,data_source_system_70
facility_id_71,facility_name_71,legacy_system_id_71,property_type_71,service_type_71,lease_start_date_71,lease_end_date_71,vendor_id_71,manager_name_71,unit_count_71,is_active_71,external_ref_id_71,notes_71,occupancy_status_71,created_date_71,internal_row_id_71,data_source_system_71
facility_id_72,facility_name_72,legacy_system_id_72,property_type_72,service_type_72,lease_start_date_72,lease_end_date_72,vendor_id_72,manager_name_72,unit_count_72,is_active_72,external_ref_id_72,notes_72,occupancy_status_72,created_date_72,internal_row_id_72,data_source_system_72
facility_id_73,facility_name_73,legacy_system_id_73,property_type_73,service_type_73,lease_start_date_73,lease_end_date_73,vendor_id_73,manager_name_73,unit_count_73,is_active_73,external_ref_id_73,notes_73,occupancy_status_73,created_date_73,internal_row_id_73,data_source_system_73
facility_id_74,facility_name_74,legacy_system_id_74,property_type_74,service_type_74,lease_start_date_74,lease_end_date_74,vendor_id_74,manager_name_74,unit_count_74,is_active_74,external_ref_id_74,notes_74,occupancy_status_74,created_date_74,internal_row_id_74,data_source_system_74
facility_id_75,facility_name_75,legacy_system_id_75,property_type_75,service_type_75,lease_start_date_75,lease_end_date_75,vendor_id_75,manager_name_75,unit_count_75,is_active_75,external_ref_id_75,notes_75,occupancy_status_75,created_date_75,internal_row_id_75,data_source_system_75
facility_id_76,facility_name_76,legacy_system_id_76,property_type_76,service_type_76,lease_start_date_76,lease_end_date_76,vendor_id_76,manager_name_76,unit_count_76,is_active_76,external_ref_id_76,notes_76,occupancy_status_76,created_date_76,internal_row_id_76,data_source_system_76
facility_id_77,facility_name_77,legacy_system_id_77,property_type_77,service_type_77,lease_start_date_77,lease_end_date_77,vendor_id_77,manager_name_77,unit_count_77,is_active_77,external_ref_id_77,notes_77,occupancy_status_77,created_date_77,internal_row_id_77,data_source_system_77
facility_id_78,facility_name_78,legacy_system_id_78,property_type_78,service_type_78,lease_start_date_78,lease_end_date_78,vendor_id_78,manager_name_78,unit_count_78,is_active_78,external_ref_id_78,notes_78,occupancy_status_78,created_date_78,internal_row_id_78,data_source_system_78
facility_id_79,facility_name_79,legacy_system_id_79,property_type_79,service_type_79,lease_start_date_79,lease_end_date_79,vendor_id_79,manager_name_79,unit_count_79,is_active_79,external_ref_id_79,notes_79,occupancy_status_79,created_date_79,internal_row_id_79,data_source_system_79
facility_id_80,facility_name_80,legacy_system_id_80,property_type_80,service_type_80,lease_start_date_80,lease_end_date_80,vendor_id_80,manager_name_80,unit_count_80,is_active_80,external_ref_id_80,notes_80,occupancy_status_80,created_date_80,internal_row_id_80,data_source_system_80
facility_id_81,facility_name_81,legacy_system_id_81,property_type_81,service_type_81,lease_start_date_81,lease_end_date_81,vendor_id_81,manager_name_81,unit_count_81,is_active_81,external_ref_id_81,notes_81,occupancy_status_81,created_date_81,internal_row_id_81,data_source_system_81
facility_id_82,facility_name_82,legacy_system_id_82,property_type_82,service_type_82,lease_start_date_82,lease_end_date_82,vendor_id_82,manager_name_82,unit_count_82,is_active_82,external_ref_id_82,notes_82,occupancy_status_82,created_date_82,internal_row_id_82,data_source_system_82
facility_id_83,facility_name_83,legacy_system_id_83,property_type_83,service_type_83,lease_start_date_83,lease_end_date_83,vendor_id_83,manager_name_83,unit_count_83,is_active_83,external_ref_id_83,notes_83,occupancy_status_83,created_date_83,internal_row_id_83,data_source_system_83
facility_id_84,facility_name_84,legacy_system_id_84,property_type_84,service_type_84,lease_start_date_84,lease_end_date_84,vendor_id_84,manager_name_84,unit_count_84,is_active_84,external_ref_id_84,notes_84,occupancy_status_84,created_date_84,internal_row_id_84,data_source_system_84
facility_id_85,facility_name_85,legacy_system_id_85,property_type_85,service_type_85,lease_start_date_85,lease_end_date_85,vendor_id_85,manager_name_85,unit_count_85,is_active_85,external_ref_id_85,notes_85,occupancy_status_85,created_date_85,internal_row_id_85,data_source_system_85
facility_id_86,facility_name_86,legacy_system_id_86,property_type_86,service_type_86,lease_start_date_86,lease_end_date_86,vendor_id_86,manager_name_86,unit_count_86,is_active_86,external_ref_id_86,notes_86,occupancy_status_86,created_date_86,internal_row_id_86,data_source_system_86
facility_id_87,facility_name_87,legacy_system_id_87,property_type_87,service_type_87,lease_start_date_87,lease_end_date_87,vendor_id_87,manager_name_87,unit_count_87,is_active_87,external_ref_id_87,notes_87,occupancy_status_87,created_date_87,internal_row_id_87,data_source_system_87
facility_id_88,facility_name_88,legacy_system_id_88,property_type_88,service_type_88,lease_start_date_88,lease_end_date_88,vendor_id_88,manager_name_88,unit_count_88,is_active_88,external_ref_id_88,notes_88,occupancy_status_88,created_date_88,internal_row_id_88,data_source_system_88
facility_id_89,facility_name_89,legacy_system_id_89,property_type_89,service_type_89,lease_start_date_89,lease_end_date_89,vendor_id_89,manager_name_89,unit_count_89,is_active_89,external_ref_id_89,notes_89,occupancy_status_89,created_date_89,internal_row_id_89,data_source_system_89
facility_id_90,facility_name_90,legacy_system_id_90,property_type_90,service_type_90,lease_start_date_90,lease_end_date_90,vendor_id_90,manager_name_90,unit_count_90,is_active_90,external_ref_id_90,notes_90,occupancy_status_90,created_date_90,internal_row_id_90,data_source_system_90
facility_id_91,facility_name_91,legacy_system_id_91,property_type_91,service_type_91,lease_start_date_91,lease_end_date_91,vendor_id_91,manager_name_91,unit_count_91,is_active_91,external_ref_id_91,notes_91,occupancy_status_91,created_date_91,internal_row_id_91,data_source_system_91
facility_id_92,facility_name_92,legacy_system_id_92,property_type_92,service_type_92,lease_start_date_92,lease_end_date_92,vendor_id_92,manager_name_92,unit_count_92,is_active_92,external_ref_id_92,notes_92,occupancy_status_92,created_date_92,internal_row_id_92,data_source_system_92
facility_id_93,facility_name_93,legacy_system_id_93,property_type_93,service_type_93,lease_start_date_93,lease_end_date_93,vendor_id_93,manager_name_93,unit_count_93,is_active_93,external_ref_id_93,notes_93,occupancy_status_93,created_date_93,internal_row_id_93,data_source_system_93
facility_id_94,facility_name_94,legacy_system_id_94,property_type_94,service_type_94,lease_start_date_94,lease_end_date_94,vendor_id_94,manager_name_94,unit_count_94,is_active_94,external_ref_id_94,notes_94,occupancy_status_94,created_date_94,internal_row_id_94,data_source_system_94
facility_id_95,facility_name_95,legacy_system_id_95,property_type_95,service_type_95,lease_start_date_95,lease_end_date_95,vendor_id_95,manager_name_95,unit_count_95,is_active_95,external_ref_id_95,notes_95,occupancy_status_95,created_date_95,internal_row_id_95,data_source_system_95
facility_id_96,facility_name_96,legacy_system_id_96,property_type_96,service_type_96,lease_start_date_96,lease_end_date_96,vendor_id_96,manager_name_96,unit_count_96,is_active_96,external_ref_id_96,notes_96,occupancy_status_96,created_date_96,internal_row_id_96,data_source_system_96
facility_id_97,facility_name_97,legacy_system_id_97,property_type_97,service_type_97,lease_start_date_97,lease_end_date_97,vendor_id_97,manager_name_97,unit_count_97,is_active_97,external_ref_id_97,notes_97,occupancy_status_97,created_date_97,internal_row_id_97,data_source_system_97
facility_id_98,facility_name_98,legacy_system_id_98,property_type_98,service_type_98,lease_start_date_98,lease_end_date_98,vendor_id_98,manager_name_98,unit_count_98,is_active_98,external_ref_id_98,notes_98,occupancy_status_98,created_date_98,internal_row_id_98,data_source_system_98
facility_id_99,facility_name_99,legacy_system_id_99,property_type_99,service_type_99,lease_start_date_99,lease_end_date_99,vendor_id_99,manager_name_99,unit_count_99,is_active_99,external_ref_id_99,notes_99,occupancy_status_99,created_date_99,internal_row_id_99,data_source_system_99
facility_id_100,facility_name_100,legacy_system_id_100,property_type_100,service_type_100,lease_start_date_100,lease_end_date_100,vendor_id_100,manager_name_100,unit_count_100,is_active_100,external_ref_id_100,notes_100,occupancy_status_100,created_date_100,internal_row_id_100,data_source_system_100
facility_id_101,facility_name_101,legacy_system_id_101,property_type_101,service_type_101,lease_start_date_101,lease_end_date_101,vendor_id_101,manager_name_101,unit_count_101,is_active_101,external_ref_id_101,notes_101,occupancy_status_101,created_date_101,internal_row_id_101,data_source_system_101
facility_id_102,facility_name_102,legacy_system_id_102,property_type_102,service_type_102,lease_start_date_102,lease_end_date_102,vendor_id_102,manager_name_102,unit_count_102,is_active_102,external_ref_id_102,notes_102,occupancy_status_102,created_date_102,internal_row_id_102,data_source_system_102
facility_id_103,facility_name_103,legacy_system_id_103,property_type_103,service_type_103,lease_start_date_103,lease_end_date_103,vendor_id_103,manager_name_103,unit_count_103,is_active_103,external_ref_id_103,notes_103,occupancy_status_103,created_date_103,internal_row_id_103,data_source_system_103
facility_id_104,facility_name_104,legacy_system_id_104,property_type_104,service_type_104,lease_start_date_104,lease_end_date_104,vendor_id_104,manager_name_104,unit_count_104,is_active_104,external_ref_id_104,notes_104,occupancy_status_104,created_date_104,internal_row_id_104,data_source_system_104
facility_id_105,facility_name_105,legacy_system_id_105,property_type_105,service_type_105,lease_start_date_105,lease_end_date_105,vendor_id_105,manager_name_105,unit_count_105,is_active_105,external_ref_id_105,notes_105,occupancy_status_105,created_date_105,internal_row_id_105,data_source_system_105
facility_id_106,facility_name_106,legacy_system_id_106,property_type_106,service_type_106,lease_start_date_106,lease_end_date_106,vendor_id_106,manager_name_106,unit_count_106,is_active_106,external_ref_id_106,notes_106,occupancy_status_106,created_date_106,internal_row_id_106,data_source_system_106
